key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
36,10036,"Smithing","RecipeLevelTable#12","Bronze Ornamental Hammer",1,"Amateur's Chaser Hammer",1,"Bronze Rivets",2,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
37,10041,"Smithing","RecipeLevelTable#13","Bronze Knuckles",1,"Bronze Ingot",2,"Hard Leather",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
38,10040,"Smithing","RecipeLevelTable#13","Bronze Spatha",1,"Bronze Ingot",1,"Hard Leather",1,"Ram Horn",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
39,10042,"Smithing","RecipeLevelTable#14","Spiked Bronze Labrys",1,"Bronze Ingot",3,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
40,10044,"Smithing","RecipeLevelTable#14","Brass Head Knife",1,"Bronze Head Knife",1,"Ragstone Whetstone",1,"Brass Ingot",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
41,10046,"Smithing","RecipeLevelTable#15","Birdsbeak Hammer",1,"Bronze Ingot",1,"Undyed Cotton Cloth",1,"Ash Lumber",1,"Jellyfish Humours",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
42,10047,"Smithing","RecipeLevelTable#15","Bronze Raising Hammer",1,"Bronze Ingot",1,"Bronze Plate",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
43,10048,"Smithing","RecipeLevelTable#16","Iron Ingot",1,"Iron Ore",3,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,,0,"RecipeNotebookList#0",False,0,50,80,58,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
44,10054,"Smithing","RecipeLevelTable#16","Plumed Bronze Pickaxe",1,"Bronze Pickaxe",1,"Hard Leather",1,"Crow Feather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
45,10050,"Smithing","RecipeLevelTable#16","Brass Bastard Sword",1,"Bronze Bastard Sword",1,"Brass Ingot",2,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
46,10053,"Smithing","RecipeLevelTable#16","Chocobotail Saw",1,"Amateur's Saw",1,"Bronze Rivets",2,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
47,10051,"Smithing","RecipeLevelTable#16","Brass Knuckles",1,"Bronze Knuckles",1,"Brass Ingot",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
48,10055,"Smithing","RecipeLevelTable#17","Iron War Axe",1,"Iron Ingot",2,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
49,10057,"Smithing","RecipeLevelTable#17","Iron Hatchet",1,"Iron Ingot",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
50,10056,"Smithing","RecipeLevelTable#17","Iron Labrys",1,"Iron Ingot",2,"Elm Lumber",1,"Hard Leather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
51,10058,"Smithing","RecipeLevelTable#18","Iron Rivets",1,"Iron Ingot",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,,0,"RecipeNotebookList#0",False,50,50,80,58,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
52,10059,"Smithing","RecipeLevelTable#18","Iron Cross-pein Hammer",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
53,10061,"Smithing","RecipeLevelTable#18","Iron Chaser Hammer",1,"Iron Ingot",1,"Iron Rivets",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
54,10060,"Smithing","RecipeLevelTable#18","Iron Doming Hammer",1,"Iron Ingot",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
55,10063,"Smithing","RecipeLevelTable#19","Iron Awl",1,"Iron Ingot",1,"Elm Lumber",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
56,10065,"Smithing","RecipeLevelTable#19","Initiate's Hatchet",1,"Iron Ingot",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
57,10062,"Smithing","RecipeLevelTable#19","Initiate's Head Knife",1,"Iron Ingot",1,"Ash Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
58,10064,"Smithing","RecipeLevelTable#19","Initiate's Sledgehammer",1,"Iron Ingot",1,"Elm Lumber",1,"Fish Glue",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
59,10066,"Smithing","RecipeLevelTable#20","Brass Viking Sword",1,"Viking Sword",1,"Brass Ingot",1,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
60,10071,"Smithing","RecipeLevelTable#20","Iron Pickaxe",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
61,10069,"Smithing","RecipeLevelTable#20","Initiate's Saw",1,"Iron Ingot",1,"Iron Rivets",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
62,10070,"Smithing","RecipeLevelTable#20","Iron Claw Hammer",1,"Iron Ingot",1,"Elm Lumber",1,"Jellyfish Humours",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
63,10067,"Smithing","RecipeLevelTable#20","Carnage Sword",1,"Brass Bastard Sword",1,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
64,10077,"Smithing","RecipeLevelTable#21","Iron Culinary Knife",1,"Iron Ingot",1,"Elm Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
65,10078,"Smithing","RecipeLevelTable#21","Iron Scythe",1,"Iron Ingot",1,"Elm Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
66,10076,"Smithing","RecipeLevelTable#21","Iron Mortar",1,"Iron Ingot",2,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
67,10072,"Smithing","RecipeLevelTable#21","Inferno Axe",1,"Iron War Axe",1,"Iron Ingot",1,"Brass Ingot",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
68,10073,"Smithing","RecipeLevelTable#21","Initiate's Cross-pein Hammer",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Yew Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
69,10075,"Smithing","RecipeLevelTable#21","Initiate's Chaser Hammer",1,"Iron Ingot",1,"Iron Rivets",1,"Yew Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
70,10074,"Smithing","RecipeLevelTable#21","Initiate's Doming Hammer",1,"Iron Ingot",1,"Yew Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
71,10081,"Smithing","RecipeLevelTable#22","Iron File",1,"Iron Ingot",2,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
72,10082,"Smithing","RecipeLevelTable#22","Iron Pliers",1,"Iron Ingot",1,"Iron Rivets",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
73,10083,"Smithing","RecipeLevelTable#22","Initiate's Pickaxe",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
74,10079,"Smithing","RecipeLevelTable#22","Iron Shortsword",1,"Iron Ingot",2,"Elm Lumber",1,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
75,10086,"Smithing","RecipeLevelTable#23","Iron Sledgehammer",1,"Iron Ingot",1,"Elm Lumber",1,"Fish Glue",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
76,10085,"Smithing","RecipeLevelTable#23","Initiate's Awl",1,"Iron Ingot",1,"Yew Lumber",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
77,10084,"Smithing","RecipeLevelTable#23","Spiked Knuckles",1,"Iron Plate",1,"Iron Ingot",1,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
78,10087,"Smithing","RecipeLevelTable#24","Iron Bill",1,"Iron Ingot",2,"Yew Lumber",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
79,10091,"Smithing","RecipeLevelTable#24","Brass Hatchet",1,"Initiate's Hatchet",1,"Brass Ingot",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
80,10088,"Smithing","RecipeLevelTable#24","Bas-relief Iron Saw",1,"Iron Ingot",1,"Iron Rivets",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
